Name,Disc. Date,mmax,Host Name,R.A.,Dec.,Type
SN1999em,1999/10/29,12.8,NGC 1637,"04:41:27.04,04:41:27.168,04:41:27.13,04:41:27.041,04:41:27.05","-02:51:45.2,-02:51:45.828,-02:51:45.4,-02:51:45.22,-02:51:45.8",II P
SN1990aj,1990/12/18,18,NGC 1640,"04:42:15.30,04:42:15.31,04:42:15.310","-20:25:17.9,-20:25:18.0,-20:25:18.01",Ia/c
SN1995G,1995/02/23,15.56,NGC 1643,"04:43:44.26,04:43:44.22,04:43:44.220","-05:18:53.7,-05:18:53.8,-05:18:53.78",II
SN1999et,1999/11/04,17.1,NGC 1643,"04:43:43.53,04:43:43.999","-05:19:19.8,-05:19:09.01",II
SN1962P,1962/10/09,14.86,NGC 1654,"04:45:49,04:45:49.400,04:45:49.4,04:45:49.63","-02:05.1,-02:05:06.00,-02:05:06.0,-02:05:02.1",I
SN1986N,1986/12/11,15,NGC 1667,"04:48:36.3,04:48:36.240,04:48:36.24,04:48:36.30","-06:19:22,-06:19:21.50,-06:19:21.5,-06:19:22.0",Ia
SN2017gax,2017/08/14,14.12,NGC 1672,"04:45:49.430,04:45:49.488","-59:14:42.56,-59:14:42.36",Ib/c
SN2005ec,2005/09/16,16.6,NGC 1690,04:54:19.17,+01:38:27.6,Ia
SN2001ep,2001/10/03,14.83,NGC 1699,"04:57:00.26,04:57:00.259","-04:45:40.2,-04:45:40.21",Ia
SN2009F,2009/01/04,15.94,NGC 1725,"04:59:23.56,04:59:23.57","-11:07:50.1,-11:07:50.16",Ia Pec
SN2012ap,2012/02/10,15.75,NGC 1729,05:00:13.72,-03:20:51.2,Ic BL
SN2009hf,2009/07/09,17.3,NGC 175,00:37:21.79,-19:56:42.2,II
SN2002cy,2002/05/08,16.1,NGC 1762,"05:03:35.33,05:03:35.330","+01:34:29.5,+01:34:29.50",
SN2001dj,2001/07/29,17.7,NGC 180,"00:37:52.22,00:37:52.219","+08:38:33.0,+08:38:33.00",II
SN1993af,1993/11/15,17,NGC 1808,"05:08:00.71,05:08:00.710","-37:29:18.0,-37:29:17.99",Ia
SN2005el,2005/09/25,14.99,NGC 1819,"05:11:48.76,05:11:48.768,05:11:48.72","+05:11:39.0,+05:11:39.012,+05:11:39.41,+05:11:39.4",Ia
SN2004ex,2004/10/11,16.74,NGC 182,00:38:10.19,+02:43:17.2,IIb
SN2002bj,2002/02/28,14.6,NGC 1821,"05:11:46.41,05:11:46.411","-15:08:10.8,-15:08:10.79",II
SN2009kr,2009/11/06,13.9,NGC 1832,05:12:03.30,-15:41:52.2,II
